17/12/2021                         	           	           	               	           	        	           	 	                        	  	        	                                      	                            	                                     	              	                        	              
ITX FX 2032 (New)                  	           	           	               	           	        	           	 	                        	  	        	                                      	                            	                                     	              	                        	              
TB                                 	Schedule   	Real       	Type           	Duration   	Comments	Offset     	^	SOD\EOD Overrun\Underrun	PR	Comments	Product                               	Version                     	Total Avail Used                     	Media Item    	Video Source            	Event Control 
                                   	           	11:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77335401   	0 	        	SKY PROG - BTG 2021                   	Alta 6 - 77335401           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077335401	iTX                     	Auto Play     
                                   	12:00:00.00	12:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	12:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	12:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	12:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	12:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	12:58:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76648901   	0 	        	SKY MKT - App SKY NL C                	Baja 2 - 76648901           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076648901	iTX                     	Manual Trigger
                                   	           	12:58:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    76000141 - Media 3  	0 	        	SKY MKT - BTCEL Chava Celular PM      	76000141 - Media 3          	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076000141	iTX                     	Auto Play     
                                   	           	12:59:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 77378201   	0 	        	Smartbank - Gen 21 22                 	Baja 2 - 77378201           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077378201	iTX                     	Auto Play     
                                   	           	12:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77380001   	0 	        	Bundesliga 21 - Gen V2                	Alta 6 - 77380001           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077380001	iTX                     	Auto Play     
                                   	13:00:00.00	13:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	13:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	13:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	13:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	13:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
